@relation master

@attribute Title string
@attribute Major {1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,10.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,99.0,26.0,27.0}
@attribute Subtopic numeric

@data
'to authorize the national science foundation to undertake certain activities in support of research on learning',6.0,698
'to direct the comptroller general of the united states to conduct a study regarding children directly affected by the terrorist attacks against the united states on september 11 2001',6.0,698
'to promote youth financial education',6.0,699
'to amend the higher education act of 1965 to recognize the time required to save funds for the college education of adopted children',6.0,699
'to direct the secretary of education to provide grants to promote holocaust education and awareness',6.0,699
'to amend part f of the title x of the elementary and secondary education act of 1965 to improve and refocus civic education and for other purposes',6.0,699
'to provide grants for cardiopulmonary resuscitation cpr training in public schools',6.0,699
'to allow states to spend certain funds to establish and maintain peer mediation programs',6.0,699
'to promote youth entrepreneurship education',6.0,699
'to authorize the secretary of education to make grants to educational organizations to carry out educational programs about the holocaust',6.0,699
'to amend the general education act to allow parents access to certain information about their children',6.0,699
'to amend the general education provisions act to clarify the definition of a student regarding family educational and privacy rights',6.0,699
'to authorize the secretary of education to make grants to eligible schools to assist such schools to discontinue use of a derogatory or discriminatory name or depiction as a team name mascot or nickname and for other purposes',6.0,699
'to amend the elementary and secondary education act of 1965 to require medically accurate and objective factual information as part of any sex education course and for other purposes',6.0,699
'to provide for the establishment of the position of deputy administrator for science and technology of the environmental protection agency and for other purposes',7.0,700
'to enhance the services provided by the environmental protection agency to small communities that are attempting to comply with national state and local environmental regulations',7.0,700
'to abolish the council on environmental quality',7.0,700
'to establish certain privileges and immunities for information disclosed as part of a voluntary selfevaluation of compliance with environmental requirements relating to compliance with environmental laws and for other purposes',7.0,700
'to amend section 211 of the clean air act to prohibit the use of mtbe to provide flexibility within the oxygenate requirement of the environmental protection agencys reformulated gasoline program to promote the use of renewable ethanol and',7.0,700
'an act to amend the federal water pollution control act to authorize the administrator of the environmental protection agency to provide assistance for remediation of sediment contamination in areas of concern to authorize assistance for resea',7.0,700
'to authorize grants for certain water and waste disposal facility projects in rural areas',7.0,700
'to provide additional authority to the office of ombudsman of the environmental protection agency',7.0,700
'search grants to small communities',7.0,700
'to phase out the incineration of solid waste and for other purposes',7.0,700
'to authorize federal agency participation and financial assistance for programs and for infrastructure improvements for the purposes of increasing deliverable water supplies conserving water and energy restoring ecosystems and enhancing envi',7.0,700
'to elevate the environmental protection agency to cabinetlevel status and redesignate such agency as the department of environmental protection',7.0,700
'to redesignate the environmental protection agency as the department of environmental protection and for other purposes',7.0,700
'to address certain matters related to colorado river water management and the salton sea by providing funding for habitat enhancement projects at the salton sea authorization and direction to the secretary of the interior regarding federal env',7.0,700
'to provide certain relief for small businesses from liability under the comprehensive environmental response compensation and liability act of 1980 and to amend such act to promote the cleanup and reuse of brownfields to provide financial a',7.0,700
'to direct the secretary of the army to establish a program to provide environmental assistance to nonfederal interests in western pennsylvania and for other purposes',7.0,700
'to reauthorize the united states institute for environmental conflict resolution and for other purposes',7.0,700
'to address certain matters related to colorado river water management and the salton sea by providing funding for habitat enhancement projects at the salton sea and for other purposes',7.0,700
'to promote and coordinate global change research and for other purposes',7.0,700
'to make supplemental appropriations for fiscal year 2001 to ensure the inclusion of commonly used pesticides in state source water assessment programs and for other purposes',7.0,701
'to prohibit the use of and provide for remediation of water contaminated by methyl tertiary butyl ether',7.0,701
'to amend the federal water pollution control act to authorize appropriations for state water pollution control revolving funds and for other purposes',7.0,701
'to amend section 402 of the federal water pollution control act to provide that no permit shall be required for animal feeding operations within the boundaries of a state if the state has established and is implementing a nutrient management pr',7.0,701
'to amend the safe drinking water act to provide grants to small public drinking water systems',7.0,701
'to amend the safe drinking water act to change the drinking water standard for arsenic from 50 parts per billion to 10 parts per billion by fiscal year 2003 and to 3 parts per billion by fiscal year 2006 and to authorize an 800 million to prov',7.0,701
'to codify the rule establishing a maximum contaminant level for arsenic published in the federal register by the environmental protection agency on january 22 2001 and for other purposes',7.0,701
'to amend the federal water pollution control act to authorize funding for the state water pollution control revolving fund program for fiscal year 2002 through 2006',7.0,701
'to authorize funding through the secretary of the interior for the implementation of a comprehensive program in california to achieve increased water yield and environmental benefits as well as improved water system reliability water quality',7.0,701
'to authorize the use of certain federal funding programs to remove arsenic from drinking water when the environmental protection agency promulgates a new national primary drinking water regulation for arsenic and for other purposes',7.0,701
'to amend the safe drinking water act to allow public water systems to avoid filtration requirements and for other purposes',7.0,701
'to amend the federal water pollution control act to require plaintiffs to file certain bonds when bringing citizen suits',7.0,701
'to authorize the secretary of agriculture to acquire and manage lands in the commonwealth of puerto rico to provide for the protection of critical aquifers and watersheds that serve as a principal water supply for puerto rico and for other pur',7.0,701
'to amend the safe drinking water act to establish a program to provide assistance to small communities for use in carrying out projects and activities necessary to achieve or maintain compliance with drinking water standards',7.0,701
'to amend the safe drinking water act to provide for research on methods to combat biological contamination of public drinking water supplies and for other purposes',7.0,701
'to amend the federal water pollution control act to increase certain criminal penalties and for other purposes',7.0,701
'to amend the federal water pollution control act to clarify that fill material cannot be comprised of waste',7.0,701
'to amend the federal water pollution control act to improve the enforcement and compliance programs',7.0,701
'to prohibit the administrator of the environmental protection agency from issuing or renewing certain national pollutant discharge elimination system permits',7.0,701
'to amend the federal water pollution control act to provide for the use of biological monitoring and whole effluent toxicity tests in connection with publicly owned treatment works municipal separate storm sewer systems and municipal combined',7.0,703
'to authorize certain states to prohibit the importation of solid waste from other states and for other purposes',7.0,703
'to impose certain limitations on the receipt of outofstate municipal solid waste and for other purposes',7.0,703
'to authorize state and local controls over the flow of municipal solid waste and for other purposes',7.0,703
'to authorize states to prohibit or impose certain limitations on the receipt of foreign municipal solid waste and for other purposes',7.0,703
'to limit liability under the comprehensive environmental response compensation and liability act of 1980 for service station dealers with respect to the release or threatened release of recycled oil',7.0,703
'to authorize states to regulate the receipt and disposal of outofstate municipal solid waste',7.0,703
'to amend the federal water pollution control act to enhance the security of wastewater treatment works',7.0,703
'to amend the federal water pollution control act to authorize appropriations for sewer overflow control grants',7.0,703
'to direct the administrator of the environmental protection agency to carry out certain authorities under an agreement with canada respecting the importation of municipal solid waste and for other purposes',7.0,703
'to amend the solid waste disposal act to authorize the secretary of housing and urban development to guarantee loans to homeowners with properties contaminated by leaking underground storage tanks to assist such homeowners in moving from such',7.0,703
'to amend the federal insecticide fungicide and rodenticide act to require local educational agencies and schools to implement integrated pest management systems to minimize the use of pesticides in schools and to provide parents guardians a',7.0,704
'to amend the internal revenue code of 1986 to provide a refundable income tax credit for the recycling of hazardous wastes',7.0,704
'to amend the comprehensive environmental response compensation and liability act of 1980 to promote brownfields redevelopment to reauthorize and reform the superfund program and for other purposes',7.0,704
'to provide funding for mtbe contamination',7.0,704
'to require the administrator of the environmental protection agency to prescribe a rule that prohibits the importation for disposal of polychlorinated biphenyls at concentrations of 50 parts per million or greater',7.0,704
'to amend the toxic substances control act to establish certain requirements regarding the approval of facilities for the disposal of polychlorinated biphenyls and for other purposes',7.0,704
'to amend the internal revenue code of 1986 to allow a credit against income tax for dry and wet cleaning equipment which uses nonhazardous primary process solvents',7.0,704
'to amend the federal insecticide fungicide and rodenticide act to permit a state to register a canadian pesticide for distribution and use within that state',7.0,704
'to amend the internal revenue code of 1986 to extend permanently environmental remediation costs',7.0,704
'to provide for a study regarding the proximity of federally assisted housing to hazardous waste sites',7.0,704
'to amend the comprehensive environmental response compensation and liability act of 1980 to ensure full federal compliance with that act',7.0,704
'to redirect the nuclear waste fund established under the nuclear waste policy act of 1982 into research development and utilization of riskdecreasing technologies for the onsite storage and eventual reduction of radiation levels of nuclear w',7.0,704
'to amend the internal revenue code of 1986 to expand the expensing of environmental remediation costs',7.0,704
'to reduce the risk of the accidental release of mercury into the environment by providing for the temporary storage of private sector supplies of mercury at facilities of the department of defense currently used for mercury storage to require',7.0,704
'to eliminate the use of the savannah river nuclear waste separation facilities in south carolina',7.0,704
'to establish a labeling requirement under the federal insecticide fungicide and rodenticide act in order to prohibit the use of arsenictreated lumber to manufacture playground equipment and for other purposes',7.0,704
'to amend the internal revenue code of 1986 to expand the incentives for the environmental cleanup of certain contaminated industrial sites designated as brownfields',7.0,704
'to authorize appropriations for hazardous material transportation safety and for other purposes',7.0,704
'to provide for interagency planning for preparing for defending against and responding to the consequences of terrorist attacks against the yucca mountain project and for other purposes',7.0,704
'to amend the internal revenue code of 1986 to clarify that certain settlement funds established under the comprehensive environmental response compensation and liability act of 1980 are beneficially owned by the united states and are not subj',7.0,704
'to amend the internal revenue code of 1986 to reinstate the taxes funding the hazardous substance superfund and the oil spill liability trust fund and to extend the taxes funding the leaking underground storage tank trust fund',7.0,704
'to amend the nuclear waste policy act of 1982 with respect to transportation of nuclear waste',7.0,704
'to prohibit the use of arsenictreated lumber to manufacture playground equipment childrens products fences walkways and decks and for all other residential purposes and for other purposes',7.0,704
'to make it more likely that the cleanup and closure of the rocky flats environmental technology site will be completed on or before december 15 2006',7.0,704
'to amend the toxic substances control act and the federal insecticide fungicide and rodenticide act',7.0,704
'to help protect the public against the threat of chemical attacks',7.0,704
'to amend the federal insecticide fungicide and rodenticide act with respect to public health pesticides',7.0,704
'to amend the comprehensive environmental response compensation and liability act of 1980 to require public availability of an accounting of all funds used or required to be used for response to a release of a hazardous substance or pollutan',7.0,704
'to amend section 211 of the clean air act to modify the provisions regarding the oxygen content of reformulated gasoline and to improve the regulation of the fuel additive methyl tertiary butyl ether mtbe and for other purposes',7.0,705
'to reduce acid deposition under the clean air act and for other purposes',7.0,705
'to amend the clean air act to permit the exclusive application of california state regulations regarding reformulated gas in certain areas within the state',7.0,705
'to reestablish the office of noise abatement and control in the environmental protection agency and for other purposes',7.0,705
'to amend the clean air act to reduce emissions from electric powerplants and for other purposes',7.0,705
'to reduce emissions of mercury carbon dioxide nitrogen oxides and sulfur dioxide from fossil fuelfired electric utility generating units operating in the united states and for other purposes',7.0,705
'to amend the internal revenue code of 1986 to permit the issuance of taxexempt bonds for certain air and water pollution control facilities',7.0,705
'to amend section 211 of the clean air act to prohibit the use of certain fuel additives',7.0,705
'to amend section 211 of the clean air act to eliminate the phasein period for the reduction of sulfur content in diesel fuel',7.0,705
'to amend the clean air act to prohibit the use of methyl tertiary butyl ether as a fuel additive to require federal vehicles to use ethanol fuel and for other purposes',7.0,705
'to prohibit the use of federal funds to implement certain additional reductions in the production or consumption of methyl bromide unless the secretary of agriculture and the administrator of the environmental protection agency have submitted',7.0,705
'to amend title 23 united states code to require consideration under the congestion mitigation and air quality improvement program of the extent to which a proposed project or program reduces sulfur or atmospheric carbon emissions to make ren',7.0,705
'to reduce emissions from tennessee valley authority electric powerplants and for other purposes',7.0,705
'to amend section 211 of the clean air act to prohibit the use of the fuel additive mtbe in gasoline',7.0,705
'to amend section 211 of the clean air act to require a more uniform formula for gasoline and diesel fuel so that gasoline and diesel fuel manufactured for one region of the country may be transported to and sold in other regions of the country',7.0,705
'to amend the internal revenue code of 1986 to assist small business refiners in complying with environmental protection agency sulfur regulations',7.0,705
'to amend the clean air act to establish requirements concerning the operation of fossil fuelfired electric utility steam generating units commercial and industrial boiler units solid waste incineration units medical waste incinerators haza',7.0,705
'to amend the internal revenue code of 1986 to decrease the class life for petroleum refinery property placed in service to comply with petroleum product specifications as promulgated by rule by the administrator of environmental protection agen',7.0,705
'to amend the clean air act to impose certain requirements on areas upwind of ozone nonattainment areas and for other purposes',7.0,705
'to amend the clean air act requirements relating to gasoline to prevent future supply shortages and price spikes in the gasoline market and for other purposes',7.0,705
'to provide a temporary waiver from certain transportation conformity requirements and metropolitan transportation planning requirements under the clean air act and under other laws for certain areas in new york where the planning offices and re',7.0,705
'to require the administrator of the environmental protection agency to conduct a feasibility study for applying airport bubbles as a method of identifying assessing and reducing the adverse environmental impacts of airport ground and flight o',7.0,705
'to amend the clean air act to permit the sale in certain states of gasoline from other regions and for other purposes',7.0,705
'to amend the clean air act to establish an inventory registry and information system of united states greenhouse gas emissions to inform the public and private sectors concerning and encourage voluntary reductions in greenhouse gas emission',7.0,705
'to prohibit the exportation of natural gas from the united states to mexico for use in electric energy generation units near the united states border that do not comply with air quality control requirements that provide air quality protection t',7.0,705
'to prohibit the issuance of new source permits under the clean air act for certain sources that would result in the deposition of mercury into the great lakes system and for other purposes',7.0,705
'to amend the clean air act to reduce air pollution through expansion of cap and trade programs to provide an alternative regulatory classification for units subject to the cap and trade program and for other purposes',7.0,705
'to amend the clean air act to ensure reasonable emissions standards for highway motorcycles and for other purposes',7.0,705
'to amend the clean air act regarding the conformity of transportation projects to implementation plans and for other purposes',7.0,705
'to authorize the secretary of transportation to require the use of recycled materials in the construction of federalaid highway projects',7.0,707
'to amend title 23 united states code to require the allocation of surface transportation program funds for the purchase of recycled materials',7.0,707
'to amend the solid waste disposal act to require a refund value for certain beverage containers to provide resources for state pollution prevention and recycling programs and for other purposes',7.0,707
'to amend the internal revenue code of 1986 to allow a credit against income tax for recycling or remanufacturing equipment',7.0,707
'to amend the solid waste disposal act to require implementation by brand owners of management plans that provide refund values for certain beverage containers',7.0,707
'to authorize the secretary of housing and urban development to make grants to evaluate and reduce leadbased paint hazards at public elementary schools and licensed child daycare facilities',7.0,708
'to amend the internal revenue code of 1986 to allow a credit against income tax for the purchase and installation of equipment to test for radon and to remove radon from the air and water',7.0,708
'to require the establishment of programs by the administrator of the environmental protection agency the director of the national institute for occupational safety and health and the secretary of health and human services to improve indoor ai',7.0,708
'to combat toxic mold and for other purposes',7.0,708
'to amend the federal water pollution control act to establish a program for fisheries habitat protection restoration and enhancement and for other purposes',7.0,709
'to prohibit the commercial harvesting of atlantic striped bass in the coastal waters and the exclusive economic zone',7.0,709
'to amend the endangered species act of 1973 to exempt the woodrow wilson bridge project from certain provisions of that act and allow the bridge and activities elsewhere to proceed in complaince with that act and for other purposes',7.0,709
'to amend the magnusonstevens fishery conservation and management act to improve implementation of the western alaska community development quota program and for other purposes',7.0,709
'to preserve the arctic coastal plain of the arctic national wildlife refuge alaska as wilderness in recognition of its extraordinary natural ecosystems and for the permanent good of present and future generations of americans',7.0,709
'to establish the rocky flats national wildlife refuge in colorado and for other purposes',7.0,709
'to provide for the acquisition of property in washington county utah for implementation of a desert tortoise habitat conservation plan',7.0,709
'to transfer management of the banks lake unit of the okefenokee national wildlife refuge',7.0,709
'to amend the animal welfare act to strike the limitation that permits interstate movement of live birds for the purpose of fighting to states in which animal fighting is lawful',7.0,709
'to authorize the secretary of commerce to provide financial assistance to the states of alaska washington oregon california and idaho for salmon habitat restoration projects in coastal waters and upland drainages and for other purposes',7.0,709
'to end the use of steeljawed leghold traps on animals in the united states',7.0,709
'to provide for the establishment of the detroit river international wildlife refuge in the state of michigan and for other purposes',7.0,709
'to provide for the conservation and rebuilding of overfished stocks of atlantic highly migratory species of fish and for other purposes',7.0,709
'to amend the endangered species act of 1973 to reform the regulatory process under that act',7.0,709
'to reform federal land management activities relating to endangered species conservation',7.0,709
'to amend the endangered species act of 1973 to reform provisions relating to liability for civil and criminal penalties under that act',7.0,709
'to extend indefinitely the authority of the states of washington oregon and california to manage a dungeness crab fishery until the effective date of a fishery management plan for the fishery under the magnusonstevens fishery conservation an',7.0,709
'to require the issuance of regulations pursuant to the national invasive species act of 1996 to assure to the maximum extent practicable that vessels entering the great lakes do not discharge ballast water that introduces or spreads nonindige',7.0,709
'to reauthorize various fishing conservation management programs and for other purposes',7.0,709
'to extend the effective period of the consent of congress to the interstate compact relating to the restoration of atlantic salmon to the connecticut river basin and creating the connecticut river atlantic salmon commission and for other purpo',7.0,709
'to expedite relief provided under the magnusonstevens fishery conservation and management act for the commercial fishery failure in the pacific coast groundfish fishery to improve fishery management and enforcement in that fishery and for ot',7.0,709
'to amend the endangered species act of 1973 to vest in the secretary of the interior functions under that act with respect to species of fish that spawn in fresh or estuarine waters and migrate to ocean waters and species of fish that spawn in',7.0,709
'to amend the internal revenue code of 1986 to provide a business credit against income for the purchase of fishing safety equipment',7.0,709
'to amend the magnusonstevens fishery conservation and management act to recover depleted fish stocks and promote the longterm sustainability of marine fisheries and for other purposes',7.0,709
'to ensure that proper planning is undertaken to secure the preservation and recovery of the salmon and steelhead of the columbia river basin and the maintenance of reasonably priced reliable power to direct the secretary of commerce to seek p',7.0,709
'to authorize the secretary of the interior to conduct a study of the feasibility of providing adequate upstream and downstream passage for fish at the chiloquin dam on the sprague river oregon',7.0,709
'to prohibit the interstate transport of horses for the purpose of slaughter or horse flesh intended for human consumption and for other purposes',7.0,709
'to amend the magnusonstevens fishery conservation and management act to prohibit offering for sale selling or purchasing in interstate or foreign commerce certain shark fins',7.0,709
'to amend the endangered species act of 1973 to require the secretary of the interior to give greater weight to scientific or commercial data that is empirical or has been fieldtested or peerreviewed and for other purposes',7.0,709
'to improve migratory bird management by the animal and plant health inspection service of the department of agriculture and for other purposes',7.0,709
'to amend the animal welfare act to improve the treatment of certain animals and for other purposes',7.0,709
'to protect the publics ability to fish for sport and for other purposes',7.0,709
'to amend title 18 united states code to prohibit interstateconnected conduct relating to exotic animals',7.0,709
'to authorize electronic issuance and recognition of migratory bird hunting and conservation stamps',7.0,709
'to protect conserve and restore native fish wildlife and their natural habitats on federal lands through cooperative incentivebased grants to control mitigate and eradicate harmful nonnative species and for other purposes',7.0,709
'to amend the endangered species act of 1973 to require the secretary of the interior to use the best sound science available in implementing the endangered species act',7.0,709
'to amend the endangered species act of 1973 to provide a public righttoknow for landowners in implementing the endangered species act',7.0,709
'to amend the endangered species act of 1973 to improve protection for endangered species habitats',7.0,709
'to direct the secretary of the interior to issue regulations under the migratory bird treaty act that authorize states to establish hunting seasons for doublecrested cormorants',7.0,709
'to prevent the slaughter of horses in and from the united states for human consumption by prohibiting the slaughter of horses for human consumption and by prohibiting the trade and transport of horseflesh and live horses intended for human cons',7.0,709
'to amend the endangered species act of 1973 to require clear and convincing scientific data with respect to the designation of critical habitat of a species under that act',7.0,709
'to designate certain federal lands in the state of utah as the gunn mckay nature preserve and for other purposes',7.0,709
'to amend the endangered species act of 1973 to establish special requirements for determining whether the blacktailed prairie dog is an endangered species or threatened species',7.0,709
'to amend title 18 united states code to prohibit certain conduct relating to polar bears',7.0,709
'to revoke a public land order with respect to certain lands erroneously included in the cibola national wildlife refuge california',7.0,709
'to amend the animal welfare act to ensure that all dogs and cats used by research facilities are obtained legally',7.0,709
'to authorize the acquisition by exchange of lands for inclusion in the red rock canyon national conservation area clark county nevada and for other purposes',7.0,709
'to amend the endangered species act of 1973 to ensure the recovery of our nations declining biological diversity to reaffirm and strengthen this nations commitment to protect wildlife to safeguard our childrens economic and ecological futu',7.0,709
'to amend the magnusonstevens fishery conservation and management act to provide for the conservation of stocks of pacific highly migratory species by directing the secretary of commerce to prohibit pelagic longline fishing in the exclusive eco',7.0,709
'to amend the endangered species act of 1973 to establish requirements for the designation of critical habitat in hawaii and for other purposes',7.0,709
'to provide for the establishment of the lake erie western basin international wildlife refuge in the states of ohio and michigan and for other purposes',7.0,709
'to require the secretary of the interior to establish a national research program to address the animal disease known as chronic wasting disease which is afflicting wild deer and elk herds in many states and for other purposes',7.0,709
'to reauthorize the magnusonstevens fishery conservation and management act and for other purposes',7.0,709
'to designate certain lands in the state of california as components of the national wilderness preservation system and for other purposes',7.0,709
'to reauthorize the marine mammal protection act of 1972 and for other purposes',7.0,709
'to provide for a multiagency cooperative effort to encourage further research regarding the causes of chronic wasting disease and methods to control the further spread of the disease in deer and elk herds to monitor the incidence of the disea',7.0,709
'to authorize the secretary of the interior to acquire the property in cecil county maryland known as garrett island for inclusion in the blackwater national wildlife refuge',7.0,709
'to amend the endangered species act of 1973 to ensure the use of sound science in the implementation of that act',7.0,709
'essential fish habitat and for other purposes',7.0,709
'to amend the lacey act amendments of 1981 to further the conservation of certain wildlife species',7.0,709
'to strengthen enforcement of provisions of the animal welfare act relating to animal fighting and for other purposes',7.0,709
'to establish marine and freshwater research development and demonstration programs to support efforts to prevent control and eradicate invasive species as well as to educate citizens and stakeholders and restore ecosystems',7.0,709
'to authorize the secretary of the army to carry out a program for ecosystem restoration in appalachia and the northeast region',7.0,709
'to expand the boundaries of the ottawa national wildlife refuge complex and of the detroit river international wildlife refuge',7.0,709
'to amend the marine mammal protection act of 1972 to repeal the longterm goal for reducing to zero the incidental mortality and serious injury of marine mammals in commercial fishing operations and to modify the goal of take reduction plans f',7.0,709
'to provide for the testing of chronic wasting disease and other infectious disease in deer and elk herds to establish the interagency task force on epizootic hemorrhagic disease and for other purposes',7.0,709
'to enable the great lakes fishery commission to investigate effects of migratory birds on sustained productivity of stocks of fish of common concern in the great lakes',7.0,709
'to amend the endangered species act of 1973 to limit the application of that act with respect to actions on military land or private land and with respect to plants',7.0,709
'to establish a moratorium on bottom trawling and use of other mobile fishing gear on the seabed in certain areas off the coast of the united states',7.0,710
'to reauthorize the coastal zone management act of 1972 and for other purposes',7.0,710
'to amend the federal water pollution control act relating to wetlands mitigation banking and for other purposes',7.0,710
'to amend the food security act of 1985 to authorize the annual enrollment of land in the wetlands reserve program to extend the program through 2005 and for other purposes',7.0,710
'to amend the federal water pollution control act relating to marine sanitation devices',7.0,710
'to amend the federal water pollution control act to authorize appropriations for fiscal years 2002 through 2006 for the municipal construction grant program and for other purposes',7.0,710
'to amend title 10 united states code to make receipts collected from mineral leasing activities on certain naval oil shale reserves available to cover environmental restoration waste management and environmental compliance costs incurred by',7.0,710
'to exclude certain properties from the john h chafee coastal barrier resources system',7.0,710
'to modify the project for beach erosion control tybee island georgia',7.0,710
'to amend the federal water pollution control act to impose limitations on wetlands mitigation activities carried out through the condemnation of private property',7.0,710
'to amend the nonindigenous aquatic nuisance prevention and control act of 1990 to prevent the westward spread of aquatic nuisance species by directing the secretary of the interior to prevent westward spread of such species across and beyond th',7.0,710
'to clarify the boundaries of coastal barrier resources system cape fear unit nc0907p',7.0,710
'to reauthorize the north american wetlands conservation act and for other purposes',7.0,710
'to protect diverse and structurally complex areas of the seabed in the united states exclusive economic zone by establishing a maximum diameter size limit on rockhopper roller and all other groundgear used on bottom trawls',7.0,710
'to authorize the secretary of the interior to provide assistance to the state of maryland and the state of louisiana for implementation of a program to eradicate or control nutria and restore marshland damaged by nutria',7.0,710
'to amend the federal water pollution control act to provide assistance for nutrient removal technologies to states in the chesapeake bay watershed',7.0,710
'to modify the project for shoreline protection brevard county florida and for other purposes',7.0,710
'to authorize the secretary of the army to participate in ecosystem restoration of the san francisco bay estuary and for other purposes',7.0,710
'to improve the conservation and management of coastal and ocean resources by reenacting and clarifying provisions of a reorganization plan authorizing the national oceanic and atmospheric administration',7.0,710
'historic area remediation site to dumping of dredged material that does not exceed polychlorinated biphenyls levels of 113 parts per billion',7.0,710
'to deem a certain memorandum of agreement issued by the environmental protection agency and the corps of engineers to be a final rule',7.0,710
'to authorize the secretary of the army to make beneficial use of dredged material for shoreline protection and restoration',7.0,710
'to amend the nonindigenous aquatic nuisance prevention and control act of 1990 to reauthorize and improve that act',7.0,710
'to establish the harsspecific pcb effects level expressed in a certain memorandum of agreement issued by the environmental protection agency and the corps of engineers as a final criterion',7.0,710
'to clarify the boundaries of the plum island unit of the coastal barrier resources system',7.0,710
'to direct the secretary of commerce to establish and appoint the members of a marine protected areas advisory committee in accordance with a department of commerce document',7.0,710
'to amend the agricultural market transition act to authorize a program to encourage agricultural producers to rest and rehabilitate croplands while enhancing soil and water conservation and wildlife habitat',7.0,711
'to amend the internal revenue code of 1986 to allow a credit against income tax for the purchase and installation of agricultural water conservation systems',7.0,711
'to amend the internal revenue code of 1986 to provide a credit against income tax for certain charitable conservation contributions of land by small farmers and ranchers and for other purposes',7.0,711
'to amend the internal revenue code of 1986 to provide economic relief to farmers and ranchers and for other purposes',7.0,711
'to amend the internal revenue code of 1986 to exclude from net earnings from selfemployment certain payments under the conservation reserve program',7.0,711
'to amend the internal revenue code of 1986 to expand the incentives for transferring land or easements therein for conservation purposes',7.0,711
'to amend the food security act of 1985 to expand the number of acres authorized for inclusion in the conservation reserve',7.0,711
'to amend the internal revenue code of 1986 to encourage contributions by individuals of capital gain real property for conservation purposes to encourage qualified conservation contributions and to modify the rules governing the estate tax ex',7.0,711
'to amend the conservation provisions of the food security act of 1985 to establish a voluntary incentivebased conservation security program',7.0,711
'to direct the secretary of the interior to establish the cooperative landscape conservation program',7.0,711
'to amend the internal revenue code of 1986 to encourage qualified conservation contributions by allowing an estate tax deduction for such contributions made by the heirs of the estate',7.0,711
'to amend the food security act of 1985 to establish a grassland reserve program to assist owners in restoring and conserving grassland',7.0,711
'to amend the internal revenue code of 1986 to modify the treatment of bonds issued to acquire renewable resources on land subject to conservation easement',7.0,711
'to extend and expand conservation programs administered by the department of agriculture',7.0,711
'to amend the food security act of 1985 to establish the conservation security program',7.0,711
'to amend the soil conservation and domestic allotment act to ensure that states and local governments can quickly and safely remove flood debris so as to reduce the risk and severity of subsequent flooding',7.0,711
'to amend the internal revenue code of 1986 to provide special rules for the charitable deduction for conservation contributions of land by eligible farmers and ranchers and for other purposes',7.0,711
'to amend the internal revenue code of 1986 to provide a tax incentive for land sales for conservation purposes',7.0,711
'to reauthorize improve and expand conservation programs administered by the department of agriculture',7.0,711
'to establish a farmland stewardship program designed to target existing conservation programs to the specific conservation needs and opportunities presented by certain agricultural lands and to authorize the secretary of agriculture to enter in',7.0,711
'to amend the water resources development act of 1986 to limit the nonfederal share of the cost of shore protection projects',7.0,711
'to establish the highlands stewardship area in the states of connecticut new jersey new york and pennsylvania and for other purposes',7.0,711
'to amend the federal water pollution control act to clarify the jurisdiction of the united states over waters of the united states',7.0,711
'to establish water conservation and habitat restoration programs in the klamath river basin and to provide emergency disaster assistance to fishermen indian tribes small businesses and others that suffer economic harm from the devastating ef',7.0,711
'to direct the administrator of the environmental protection agency to conduct a study of the feasibility of developing regional vehicle fuel specifications for the united states and of implementing the use of a uniform blend of gasoline in the',7.0,798
'to amend the federal water pollution control act to protect 1 5 of the worlds fresh water supply by directing the administrator of the environmental protection agency to conduct a study on the known and potential environmental effects of oil',7.0,798
'to amend the federal water pollution control act to authorize appropriations for water pollution control research development and technology demonstration and for other purposes',7.0,798
'to establish within the national marine fisheries service a pelagic longline highly migratory species bycatch and mortality reduction research program and for other purposes',7.0,798
'to amend the endangered species act of 1973 to authorize federal agencies to promptly respond to emergencies involving the health and safety of persons in the same manner as such authority is available under the wilderness act',7.0,799
'to amend title 23 united states code relating to streamlining for highway and transit projects and for other purposes',7.0,799
'to enhance energy conservation research and development and to provide for security and diversity in the energy supply for the american people and for other purposes',8.0,800
'to establish a commission to review and explore ways for the united states to become energy selfsufficient by 2011',8.0,800
'to abolish the department of energy',8.0,800
'to establish a fund for environmental priorities to be funded by a portion of the consumer savings resulting from retail electricity choice and for other purposes',8.0,800
'to increase the authorization of appropriations for lowincome energy assistance weatherization and state energy conservation grant programs to expand the use of energy savings performance contracts and for other purposes',8.0,800
'to lower energy costs to consumers increase electric system reliability and provide environmental improvements through the rapid deployment of distributed energy resources and for other purposes',8.0,800
'to repeal the public utility holding company act of 1935 to enact the public utility holding company act of 1999 and for other purposes',8.0,800
'to amend the internal revenue code of 1986 to provide a credit against tax for qualified energy management devices and for other purposes',8.0,800
'to ensure the energy selfsufficiency of the united states by 2011 and for other purposes',8.0,800
'to amend the federal power act and the internal revenue code of 1986 to encourage the development and deployment of innovative and efficient energy technologies',8.0,800
'to amend the internal revenue code of 1986 to impose a windfall profit tax on oil and natural gas and products thereof and to allow an income tax credit for purchases of fuelefficient passenger vehicles and to allow grants for mass transit',8.0,800
'to amend the federal power act to provide the federal energy regulatory commission with authority to order certain refunds of electric rates to require the commission to expand its market mitigation plan and to provide the secretary of energy',8.0,800
